Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1531132826124529665,I start my week with immense #gratitude. The BBC100 Women list came out in December 2021 and one of the first few people to reach out to me was Linda Mitchell. Hearing from Dame Stephanie Shirley's office was surreal. The validation that came from both of…https://t.co/TUWw5n1i9p,mugdha kalra,mugdhakalra,2022-05-30T04:38:07.000Z,Mon May 30 04:38:07 +0000 2022,0,0,en,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",Tweet,https://lnkd.in/dH6cQg22 ,1,0,,
1528646347540373506,Happy to announce that I will be a core cohort member at WICCI Financial Literacy &amp; Management National Council where we will talk about Financial Literacy for women &amp; girls and collaborate on plans that help us take this agenda forward. I take this oppor…https://t.co/ohqDGzidfw,mugdha kalra,mugdhakalra,2022-05-23T07:57:44.000Z,Mon May 23 07:57:44 +0000 2022,2,1,en,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",Tweet,https://lnkd.in/d8NUdjm7 ,0,0,,
1527285741352390657,Thank you @CNBCTV18News for amplifying our voice and putting out our suggestions. https://t.co/FN8QwWx3Pj,mugdha kalra,mugdhakalra,2022-05-19T13:51:10.000Z,Thu May 19 13:51:10 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/CNBCTV18News/status/1527282029989359616 ,0,1,,
1527283454517321728,Thank You Prachi Deo &amp; Nayi Disha  for this conversation. #inclusion starts at home and we at Not That Different are trying to do the same with our comic book. Tell more families and young neurotypicals about Autism and they can be…https://t.co/EIrdUZcJ1r https://t.co/5JbsaOjWC0,mugdha kalra,mugdhakalra,2022-05-19T13:42:05.000Z,Thu May 19 13:42:05 +0000 2022,1,1,en,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",Tweet,https://lnkd.in/dZ7rAc7A https://lnkd.in/dj427j6Y ,1,0,,
1527214624772345882,Network18 &amp; Truecaller's #callitout #itsnotok campaign against online harassment of women reached Telangana this month and it was insightful to hear from various stakeholders about the multiple  initiatives that are in place for women to report harassment…https://t.co/cKFP5xa3nk,mugdha kalra,mugdhakalra,2022-05-19T09:08:35.000Z,Thu May 19 09:08:35 +0000 2022,1,1,en,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",Tweet,https://lnkd.in/d8QG_Z4X ,2,0,,
1526261490453553152,Always great working with the A Team!! #netowrk18  #itsnotok https://t.co/tlNHPDyu66,mugdha kalra,mugdhakalra,2022-05-16T18:01:10.000Z,Mon May 16 18:01:10 +0000 2022,2,1,en,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Tweet,https://www.instagram.com/p/CdoNOV-oOvz/?igshid=YTgzYjQ4ZTY= ,2,0,,
1526260972821921792,Just posted a photo https://t.co/C5lXskz5AV,mugdha kalra,mugdhakalra,2022-05-16T17:59:07.000Z,Mon May 16 17:59:07 +0000 2022,3,1,en,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Tweet,https://www.instagram.com/p/CdoM_V4oV3s/?igshid=YTgzYjQ4ZTY= ,0,0,,
1525775664263176195,Shereen Bhan was the first one to get the Indigo CEO Ronojoy Dutta on air and had a very calm and collected discussion on the unfortunate Indigo incident and raised all the tough questions. That is exactly how we need to deal with the situation now. Calml…https://t.co/Epzn6nP4Mm,mugdha kalra,mugdhakalra,2022-05-15T09:50:40.000Z,Sun May 15 09:50:40 +0000 2022,1,0,en,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",Tweet,https://lnkd.in/ddhkbbBw ,0,0,,
1524610222811082752,https://t.co/fyIQ8Owc15,mugdha kalra,mugdhakalra,2022-05-12T04:39:37.000Z,Thu May 12 04:39:37 +0000 2022,0,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.thehindu.com/news/national/indigo-applied-rules-for-unruly-passengers-for-one-with-special-needs/article65400930.ece?fbclid=IwAR0WmlEWTzRRi0kDlSxBwAj6gCVoZtrusv7JVc3-qhENy6foRYzy8_UYdqY ,0,0,,
1523536918104862720,Thank you @JM_Scindia for this. @IndiGo6E here's what my humble suggestion is. I am happy to do FREE WORKSHOPS for all your staff on understanding neurodiversity better so these type of incidents can be avoided. https://t.co/ol9N8pFvzm,mugdha kalra,mugdhakalra,2022-05-09T05:34:41.000Z,Mon May 09 05:34:41 +0000 2022,5,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/JM_Scindia/status/1523505174672674816 ,0,2,,
